"mean","cil","ciu","rhat","params"
-5.22575979421062,-9.91106585527789,-2.28783694940869,1.00512396835266,"alpha[142]"
-3.56020199571736,-6.22735402495431,-0.390580951731106,1.00177896540371,"alpha[143]"
-5.27536199979963,-10.0248953817128,-2.36667533155074,1.00429988511283,"alpha[144]"
-5.44956646483456,-10.0933527467198,-2.75257125264307,1.00605879964029,"alpha[145]"
-5.33861972845422,-9.93325317984609,-2.56869333885226,1.00621959336197,"alpha[146]"
-5.29749267132669,-9.97670152884694,-2.42241281123184,1.00722859904021,"alpha[147]"
-5.39880380498979,-10.1117555874114,-2.70135896440322,1.00503660896104,"alpha[148]"
-5.37996353231236,-9.98514173781781,-2.59087142868249,1.00409899324473,"alpha[149]"
-5.2468907570082,-9.91050959096851,-2.34840208200957,1.00373048787881,"alpha[150]"
-5.25074541534615,-10.0126504195738,-2.3656995464449,1.00533842148881,"alpha[151]"
-5.23786259356581,-9.89210680342373,-2.33488212283567,1.00587954610333,"alpha[152]"
-5.19907042183888,-9.85131349287121,-2.20627682523733,1.00429748299822,"alpha[153]"
-5.38343661777898,-10.0673348950601,-2.67992995849604,1.00882506378447,"alpha[154]"
-5.249362776695,-9.99577750597474,-2.37157485410225,1.00727091330411,"alpha[155]"
-5.61749174907434,-10.2300208152179,-3.0117749565898,1.00447538786758,"alpha[156]"
-5.41954436173052,-10.0798797489171,-2.7365537208601,1.00609550363661,"alpha[157]"
-5.28070357948837,-9.93454865012755,-2.42107946787103,1.00372630315127,"alpha[158]"
-5.22732498799549,-9.98360485329312,-2.27915502281057,1.00346101372054,"alpha[159]"
-5.2639701335105,-9.88882135091718,-2.35550832473662,1.00661888946299,"alpha[160]"
-5.28297447462708,-9.93098174412194,-2.42843435750394,1.00449326472894,"alpha[161]"
-5.22641915089409,-9.87734231635136,-2.32136522204616,1.00531806968109,"alpha[162]"
-5.26362252718053,-9.94999213755043,-2.37134113294103,1.00617620650339,"alpha[163]"
-5.31632614340367,-9.97414690257656,-2.5159454279891,1.00646727383539,"alpha[164]"
-5.36150169743241,-10.0518292307776,-2.65732876904986,1.00647340581531,"alpha[165]"
-5.17843804707117,-9.83583581405247,-2.12505845111598,1.0047861103609,"alpha[166]"
-5.58991673072821,-10.2206346405601,-2.88680364293341,1.00437775757584,"alpha[167]"
-4.10814949911065,-6.84914545286082,-1.57076387865087,1.00163275176187,"alpha[168]"
-5.45442921105103,-10.0797764722018,-2.81481968301034,1.00760487485468,"alpha[169]"
-5.29176179274756,-9.98073872809136,-2.41998896816122,1.00729368416394,"alpha[170]"
-5.25148798975737,-9.88374598374622,-2.38174762091015,1.00434260839996,"alpha[171]"
-5.24586519358205,-9.9299457124157,-2.34194529339739,1.00501142378742,"alpha[172]"
-5.23132439334907,-10.0030689806235,-2.27149372156512,1.00363159677605,"alpha[173]"
-5.2123588247138,-9.85041807865786,-2.28527623017088,1.00728266390634,"alpha[174]"
-5.70761888612803,-10.2054453425454,-3.33898368230179,1.00964924685598,"alpha[175]"
-5.46594894876203,-10.0756524474689,-2.87011051810885,1.00867380456943,"alpha[176]"
-4.65058694832701,-7.22236789100263,-2.7284750790829,1.00578539514291,"alpha[177]"
-5.27100386165197,-9.88826504171043,-2.43379077035485,1.00292309792305,"alpha[178]"
-5.28190135146805,-9.96092213154949,-2.38718843991483,1.00443196630157,"alpha[179]"
-5.32686584523339,-10.049015919669,-2.513687346801,1.0055867770956,"alpha[180]"
-5.65575047932357,-10.3018594188404,-3.08387709341371,1.00715062809766,"alpha[181]"
-5.29557228085048,-9.99813085586796,-2.43286504221267,1.00436975763651,"alpha[182]"
-5.34863580879633,-9.94622781797054,-2.59351590020688,1.00843002144113,"alpha[183]"
-5.23088051070045,-9.83179163266461,-2.33620811115955,1.00485156026327,"alpha[184]"
-5.82092804356767,-10.6409420395784,-3.05093792172737,1.01099505202398,"alpha[185]"
-5.30084546220999,-7.71815873464506,-3.6495505939566,1.00579979967048,"alpha[186]"
-3.50986653929373,-6.05728135119556,-0.730834093818064,1.00058909013522,"alpha[187]"
-3.15335933330675,-4.74100582341007,-1.57701126503899,1.00083066877979,"alpha[188]"
